"filename", "language", "JavaScript", "JSON", "Firebase Rules", "XML", "HTML", "CSS", "JSON with Comments", "comment", "blank", "total"
"d:\Projects\CodeExpresso\CodeExpresso-4\favicon\browserconfig.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\Projects\CodeExpresso\CodeExpresso-4\favicon\safari-pinned-tab.svg", "XML", 0, 0, 0, 32, 0, 0, 0, 0, 1, 33
"d:\Projects\CodeExpresso\CodeExpresso-4\favicon\site.webmanifest", "JSON", 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"d:\Projects\CodeExpresso\CodeExpresso-4\firebase.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 25, 0, 36
"d:\Projects\CodeExpresso\CodeExpresso-4\firestore.indexes.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Projects\CodeExpresso\CodeExpresso-4\firestore.rules", "Firebase Rules", 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"d:\Projects\CodeExpresso\CodeExpresso-4\jest.config.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"d:\Projects\CodeExpresso\CodeExpresso-4\package-lock.json", "JSON", 0, 25746, 0, 0, 0, 0, 0, 0, 1, 25747
"d:\Projects\CodeExpresso\CodeExpresso-4\package.json", "JSON", 0, 47, 0, 0, 0, 0, 0, 0, 1, 48
"d:\Projects\CodeExpresso\CodeExpresso-4\src\activate.js", "JavaScript", 183, 0, 0, 0, 0, 0, 0, 20, 36, 239
"d:\Projects\CodeExpresso\CodeExpresso-4\src\compiler.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 7, 13, 71
"d:\Projects\CodeExpresso\CodeExpresso-4\src\errorBot.js", "JavaScript", 156, 0, 0, 0, 0, 0, 0, 5, 9, 170
"d:\Projects\CodeExpresso\CodeExpresso-4\src\firebase\config.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 8, 17
"d:\Projects\CodeExpresso\CodeExpresso-4\src\firebase\userEssentials.js", "JavaScript", 382, 0, 0, 0, 0, 0, 0, 49, 66, 497
"d:\Projects\CodeExpresso\CodeExpresso-4\src\forgot.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 22, 13, 67
"d:\Projects\CodeExpresso\CodeExpresso-4\src\general\audioEssentials.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 5, 22, 107
"d:\Projects\CodeExpresso\CodeExpresso-4\src\general\cookies.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
"d:\Projects\CodeExpresso\CodeExpresso-4\src\general\essentials.js", "JavaScript", 141, 0, 0, 0, 0, 0, 0, 15, 15, 171
"d:\Projects\CodeExpresso\CodeExpresso-4\src\general\tests\audioEssentials.test.js", "JavaScript", 97, 0, 0, 0, 0, 0, 0, 17, 26, 140
"d:\Projects\CodeExpresso\CodeExpresso-4\src\general\tests\cookies.test.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 5, 6, 29
"d:\Projects\CodeExpresso\CodeExpresso-4\src\general\tests\essentials.test.js", "JavaScript", 244, 0, 0, 0, 0, 0, 0, 48, 73, 365
